DIPUTADOS | AMÉRICA - ANTILLAS HOLANDESAS	850	386	264
DIPUTADOS | AMÉRICA - ARGENTINA	144399	31604	14854
DIPUTADOS | AMÉRICA - BOLIVIA	9982	4467	3099
DIPUTADOS | AMÉRICA - BRASIL	19532	4027	2584
DIPUTADOS | AMÉRICA - CANADÁ	23773	6389	5138
DIPUTADOS | AMÉRICA - CHILE	124586	45017	20033
DIPUTADOS | AMÉRICA - COLOMBIA	6150	2006	1176
DIPUTADOS | AMÉRICA - COSTA RICA	3264	815	637
DIPUTADOS | AMÉRICA - CUBA	137	15	10
DIPUTADOS | AMÉRICA - ECUADOR	6989	2644	1263
DIPUTADOS | AMÉRICA - EL SALVADOR	171	75	43
DIPUTADOS | AMÉRICA - ESTADOS UNIDOS DE ÁMERICA	348875	46161	33470
DIPUTADOS | AMÉRICA - GUATEMALA	521	97	86
DIPUTADOS | AMÉRICA - GUAYANA FRANCESA	642	133	38
DIPUTADOS | AMÉRICA - HONDURAS	273	63	42
DIPUTADOS | AMÉRICA - MÉXICO	6486	1347	1105
DIPUTADOS | AMÉRICA - NICARAGUA	185	0	0
DIPUTADOS | AMÉRICA - PANAMÁ	3580	1330	888
DIPUTADOS | AMÉRICA - PARAGUAY	1802	572	321
DIPUTADOS | AMÉRICA - PUERTO RICO	818	123	102
DIPUTADOS | AMÉRICA - REPÚBLICA DOMINICANA	1401	365	274
DIPUTADOS | AMÉRICA - TRINIDAD Y TOBAGO	93	11	11
DIPUTADOS | AMÉRICA - URUGUAY	1952	542	283
DIPUTADOS | ASIA - FILIPINAS	49	13	11
DIPUTADOS | ASIA - INDIA	92	11	10
DIPUTADOS | ASIA - INDONESIA	22	10	8
DIPUTADOS | ASIA - JAPÓN	37660	5017	3609
DIPUTADOS | ASIA - MALASIA	23	8	7
DIPUTADOS | ASIA - REPUBLICA DE COREA	379	123	102
DIPUTADOS | ASIA - REPÚBLICA POPULAR CHINA	833	174	122
DIPUTADOS | ASIA - SINGAPUR	104	35	32
DIPUTADOS | ASIA - TAILANDIA	92	34	30
DIPUTADOS | ASIA - TURQUÍA	91	41	37
DIPUTADOS | ASIA - VIETNAM	17	5	5
DIPUTADOS | CALLAO - CALLAO	852699	634934	457073
DIPUTADOS | EUROPA - ALEMANIA	13471	3462	2872
DIPUTADOS | EUROPA - AUSTRIA	1176	140	125
DIPUTADOS | EUROPA - BIELORRUSIA	30	17	15
DIPUTADOS | EUROPA - BÉLGICA	4009	1123	843
DIPUTADOS | EUROPA - DINAMARCA	675	90	77
DIPUTADOS | EUROPA - ESPAÑA	212055	45606	29421
DIPUTADOS | EUROPA - FINLANDIA	459	116	87
DIPUTADOS | EUROPA - FRANCIA	14207	3656	2582
DIPUTADOS | EUROPA - GRAN BRETAÑA	6279	1066	811
DIPUTADOS | EUROPA - GRAN DUCADO DE LUXEMBURGO	354	182	121
DIPUTADOS | EUROPA - GRECIA	329	47	32
DIPUTADOS | EUROPA - HOLANDA	2550	618	532
DIPUTADOS | EUROPA - HUNGRÍA	322	109	92
DIPUTADOS | EUROPA - IRLANDA	331	93	70
DIPUTADOS | EUROPA - ITALIA	121716	35405	23350
DIPUTADOS | EUROPA - MALTA	37	17	15
DIPUTADOS | EUROPA - NORUEGA	534	155	133
DIPUTADOS | EUROPA - POLONIA	409	106	91
DIPUTADOS | EUROPA - PORTUGAL	694	241	183
DIPUTADOS | EUROPA - PRINCIPADO DE ANDORRA	247	130	68
DIPUTADOS | EUROPA - REPÚBLICA CHECA	279	118	112
DIPUTADOS | EUROPA - RUMANÍA	145	50	45
DIPUTADOS | EUROPA - RUSIA	636	150	95
DIPUTADOS | EUROPA - SUECIA	4107	1018	725
DIPUTADOS | EUROPA - SUIZA	9366	2214	1571
DIPUTADOS | ICA - CHINCHA	7669	5599	3733
DIPUTADOS | ICA - NASCA	63028	32141	22601
DIPUTADOS | ICA - PALPA	12833	6355	4268
DIPUTADOS | ICA - PISCO	124311	88000	59509
DIPUTADOS | JUNÍN - CHANCHAMAYO	137887	89867	57440
DIPUTADOS | JUNÍN - CHUPACA	54627	41227	27016
DIPUTADOS | JUNÍN - CONCEPCIÓN	52075	35915	23809
DIPUTADOS | JUNÍN - HUANCAYO	465147	349162	254150
DIPUTADOS | JUNÍN - JAUJA	73635	54558	36827
DIPUTADOS | JUNÍN - JUNÍN	18466	12557	8202
DIPUTADOS | JUNÍN - SATIPO	154832	93826	58511
DIPUTADOS | JUNÍN - TARMA	75751	57461	36548
DIPUTADOS | JUNÍN - YAULI	30080	21559	14947
DIPUTADOS | LA LIBERTAD - ASCOPE	99625	61160	40659
DIPUTADOS | LA LIBERTAD - BOLÍVAR	12857	5477	3343
DIPUTADOS | LA LIBERTAD - CHEPÉN	70797	44691	29354
DIPUTADOS | LA LIBERTAD - GRAN CHIMÚ	23674	13582	8517
DIPUTADOS | LA LIBERTAD - JULCÁN	26465	12989	8022
DIPUTADOS | LA LIBERTAD - OTUZCO	73980	45824	27706
DIPUTADOS | LA LIBERTAD - PACASMAYO	85493	51325	33656
DIPUTADOS | LA LIBERTAD - PATAZ	62037	30683	17541
DIPUTADOS | LA LIBERTAD - SANTIAGO DE CHUCO	43386	22989	14939
DIPUTADOS | LA LIBERTAD - SÁNCHEZ CARRIÓN	123306	68559	42593
DIPUTADOS | LA LIBERTAD - TRUJILLO	847194	594623	456879
DIPUTADOS | LA LIBERTAD - VIRÚ	83877	66321	44988
DIPUTADOS | LAMBAYEQUE - CHICLAYO	705206	481447	340729
DIPUTADOS | LAMBAYEQUE - FERREÑAFE	87330	47449	30148
DIPUTADOS | LAMBAYEQUE - LAMBAYEQUE	258814	172565	113424
DIPUTADOS | LIMA - BARRANCA	122646	90865	62848
DIPUTADOS | LIMA - CAJATAMBO	6045	3177	1853
DIPUTADOS | LIMA - CANTA	12822	8732	6144
DIPUTADOS | LIMA - CAÑETE	194907	155745	109718
DIPUTADOS | LIMA - HUARAL	162781	104939	74225
DIPUTADOS | LIMA - HUAROCHIRÍ	96193	65376	46677
DIPUTADOS | LIMA - HUAURA	192302	145274	102410
DIPUTADOS | LIMA - LIMA	6065821	4612226	3469703
DIPUTADOS | LIMA - OYÓN	13169	8997	5865
DIPUTADOS | LIMA - YAUYOS	27608	16083	10778
DIPUTADOS | LORETO - ALTO AMAZONAS	10375	5893	3176
DIPUTADOS | LORETO - MAYNAS	34253	14740	9099
DIPUTADOS | OCEANÍA - AUSTRALIA	3808	900	801
DIPUTADOS | OCEANÍA - NUEVA ZELANDA	841	251	225
DIPUTADOS | PIURA - AYABACA	94268	33308	20467
DIPUTADOS | PIURA - HUANCABAMBA	71765	30581	19237
DIPUTADOS | PIURA - MORROPÓN	132977	72378	42119
DIPUTADOS | PIURA - PAITA	96973	65117	38668
DIPUTADOS | PIURA - PIURA	427579	278536	176349
DIPUTADOS | PIURA - SECHURA	55626	35876	20617
DIPUTADOS | PIURA - SULLANA	258382	162120	98368
DIPUTADOS | PIURA - TALARA	113041	66315	40271
DIPUTADOS | PUNO - AZÁNGARO	95097	69508	47704
DIPUTADOS | PUNO - CARABAYA	44604	30128	20879
DIPUTADOS | PUNO - CHUCUITO	53077	40216	26027
DIPUTADOS | PUNO - EL COLLAO	47320	36723	23643
DIPUTADOS | PUNO - HUANCANÉ	53145	36513	23670
DIPUTADOS | PUNO - LAMPA	38326	27485	18455
DIPUTADOS | PUNO - MELGAR	54808	38829	26437
DIPUTADOS | PUNO - MOHO	19146	11909	7531
DIPUTADOS | PUNO - PUNO	171259	137811	95231
DIPUTADOS | PUNO - SAN ANTONIO DE PUTINA	23362	16094	11427
DIPUTADOS | PUNO - SAN ROMÁN	225413	170114	125985
DIPUTADOS | PUNO - SANDIA	42422	26623	17057
DIPUTADOS | PUNO - YUNGUYO	31603	22208	13383
DIPUTADOS | SAN MARTÍN - BELLAVISTA	41290	22229	8683
DIPUTADOS | SAN MARTÍN - EL DORADO	24869	11880	4201
DIPUTADOS | SAN MARTÍN - HUALLAGA	24454	11557	4417
DIPUTADOS | SAN MARTÍN - LAMAS	61778	37488	15166
DIPUTADOS | SAN MARTÍN - MARISCAL CÁCERES	53791	28733	12473
DIPUTADOS | SAN MARTÍN - MOYOBAMBA	95375	58166	27058
DIPUTADOS | SAN MARTÍN - PICOTA	36807	21213	8838
DIPUTADOS | SAN MARTÍN - RIOJA	107051	68931	30261
DIPUTADOS | SAN MARTÍN - SAN MARTÍN	159390	92059	50007
DIPUTADOS | SAN MARTÍN - TOCACHE	60065	29116	12148
DIPUTADOS | TACNA - CANDARAVE	6532	4336	3136
DIPUTADOS | TACNA - JORGE BASADRE	10580	8341	6274
DIPUTADOS | TACNA - TACNA	273494	219573	170581
DIPUTADOS | TACNA - TARATA	7888	5728	4239
