DIPUTADOS | AMÉRICA - ANTILLAS HOLANDESAS	2	2
DIPUTADOS | AMÉRICA - ARGENTINA	296	296
DIPUTADOS | AMÉRICA - BOLIVIA	22	22
DIPUTADOS | AMÉRICA - BRASIL	44	44
DIPUTADOS | AMÉRICA - CANADÁ	51	51
DIPUTADOS | AMÉRICA - CHILE	254	254
DIPUTADOS | AMÉRICA - COLOMBIA	17	17
DIPUTADOS | AMÉRICA - COSTA RICA	7	7
DIPUTADOS | AMÉRICA - CUBA	1	1
DIPUTADOS | AMÉRICA - ECUADOR	16	16
DIPUTADOS | AMÉRICA - EL SALVADOR	1	1
DIPUTADOS | AMÉRICA - ESTADOS UNIDOS DE ÁMERICA	710	710
DIPUTADOS | AMÉRICA - GUATEMALA	2	2
DIPUTADOS | AMÉRICA - GUAYANA FRANCESA	2	2
DIPUTADOS | AMÉRICA - HONDURAS	1	1
DIPUTADOS | AMÉRICA - MÉXICO	14	14
DIPUTADOS | AMÉRICA - NICARAGUA	1	1
DIPUTADOS | AMÉRICA - PANAMÁ	10	10
DIPUTADOS | AMÉRICA - PARAGUAY	4	4
DIPUTADOS | AMÉRICA - PUERTO RICO	2	2
DIPUTADOS | AMÉRICA - REPÚBLICA DOMINICANA	4	4
DIPUTADOS | AMÉRICA - TRINIDAD Y TOBAGO	1	1
DIPUTADOS | AMÉRICA - URUGUAY	4	4
DIPUTADOS | ASIA - FILIPINAS	1	1
DIPUTADOS | ASIA - INDIA	1	1
DIPUTADOS | ASIA - INDONESIA	1	1
DIPUTADOS | ASIA - JAPÓN	81	81
DIPUTADOS | ASIA - MALASIA	1	1
DIPUTADOS | ASIA - REPUBLICA DE COREA	1	1
DIPUTADOS | ASIA - REPÚBLICA POPULAR CHINA	4	4
DIPUTADOS | ASIA - SINGAPUR	1	1
DIPUTADOS | ASIA - TAILANDIA	1	1
DIPUTADOS | ASIA - TURQUÍA	2	2
DIPUTADOS | ASIA - VIETNAM	1	1
DIPUTADOS | CALLAO - CALLAO	2877	2877
DIPUTADOS | EUROPA - ALEMANIA	29	29
DIPUTADOS | EUROPA - AUSTRIA	3	3
DIPUTADOS | EUROPA - BIELORRUSIA	1	1
DIPUTADOS | EUROPA - BÉLGICA	10	10
DIPUTADOS | EUROPA - DINAMARCA	2	2
DIPUTADOS | EUROPA - ESPAÑA	431	431
DIPUTADOS | EUROPA - FINLANDIA	1	1
DIPUTADOS | EUROPA - FRANCIA	31	31
DIPUTADOS | EUROPA - GRAN BRETAÑA	13	13
DIPUTADOS | EUROPA - GRAN DUCADO DE LUXEMBURGO	1	1
DIPUTADOS | EUROPA - GRECIA	1	1
DIPUTADOS | EUROPA - HOLANDA	6	6
DIPUTADOS | EUROPA - HUNGRÍA	1	1
DIPUTADOS | EUROPA - IRLANDA	1	1
DIPUTADOS | EUROPA - ITALIA	248	248
DIPUTADOS | EUROPA - MALTA	1	1
DIPUTADOS | EUROPA - NORUEGA	2	2
DIPUTADOS | EUROPA - POLONIA	1	1
DIPUTADOS | EUROPA - PORTUGAL	2	2
DIPUTADOS | EUROPA - PRINCIPADO DE ANDORRA	1	1
DIPUTADOS | EUROPA - REPÚBLICA CHECA	1	1
DIPUTADOS | EUROPA - RUMANÍA	2	2
DIPUTADOS | EUROPA - RUSIA	3	3
DIPUTADOS | EUROPA - SUECIA	9	9
DIPUTADOS | EUROPA - SUIZA	19	19
DIPUTADOS | ICA - CHINCHA	28	28
DIPUTADOS | ICA - NASCA	218	218
DIPUTADOS | ICA - PALPA	46	46
DIPUTADOS | ICA - PISCO	426	426
DIPUTADOS | JUNÍN - CHANCHAMAYO	481	481
DIPUTADOS | JUNÍN - CHUPACA	190	190
DIPUTADOS | JUNÍN - CONCEPCIÓN	188	188
DIPUTADOS | JUNÍN - HUANCAYO	1588	1588
DIPUTADOS | JUNÍN - JAUJA	268	268
DIPUTADOS | JUNÍN - JUNÍN	64	64
DIPUTADOS | JUNÍN - SATIPO	545	545
DIPUTADOS | JUNÍN - TARMA	262	262
DIPUTADOS | JUNÍN - YAULI	105	105
